day	num_rats	Status
2013-10-09	11	Pending
2013-10-10	32	Closed
2013-10-10	4	Pending
2013-10-10	1	Assigned
2013-10-13	1	Pending
2013-10-13	13	Closed
2013-10-14	18	Closed
2013-10-12	1	Pending
2013-10-12	12	Closed
2013-10-11	22	Closed
2013-10-11	4	Pending
2017-10-26	39	Closed
2017-12-18	26	Closed
2017-05-29	4	Assigned
2017-10-27	19	Pending
2017-10-28	13	Pending
2017-12-19	30	Closed
2017-03-22	34	Closed
2017-10-28	23	Closed
2017-10-29	14	Closed
2017-12-21	2	Assigned
2017-10-29	8	Pending
2017-12-20	30	Closed
2017-12-22	7	Pending
2017-12-21	31	Closed
2017-10-30	9	Pending
2017-10-20	1	Assigned
2017-10-21	9	Pending
2018-06-12	20	Pending
2018-06-12	18	Assigned
2017-11-03	18	Pending
2018-06-13	20	Pending
2017-11-04	21	Closed
2017-11-04	10	Pending
2018-06-13	25	Assigned
2017-11-04	2	Assigned
2017-06-08	55	Closed
2017-11-06	11	Pending
2017-12-31	5	Pending
2017-11-07	1	Assigned
2017-12-28	23	Closed
2017-11-02	13	Pending
2017-12-29	17	Closed
2018-06-19	12	Pending
2017-02-07	32	Closed
2017-11-13	38	Closed
2017-11-13	12	Pending
2017-02-15	121	Closed
2018-01-03	10	Pending
2017-11-09	11	Pending
2017-11-10	20	Closed
2018-01-03	19	Closed
2017-11-11	15	Closed
2018-04-26	39	Closed
2017-07-21	44	Closed
2018-01-12	9	Assigned
2018-01-12	25	Closed
2018-05-25	33	Closed
2017-04-30	38	Closed
2017-11-14	3	Assigned
2017-04-09	19	Closed
2017-11-15	31	Closed
2018-04-30	24	Pending
2018-01-08	35	Closed
2017-11-16	39	Closed
2017-11-17	20	Closed
2017-11-18	18	Closed
2017-11-19	16	Closed
2018-04-17	43	Closed
2018-01-10	3	Assigned
2018-01-15	20	Closed
2018-06-15	18	Assigned
2017-11-27	44	Closed
2018-01-16	23	Closed
2018-01-19	18	Closed
2017-12-01	26	Closed
2018-06-17	44	Assigned
2017-12-01	13	Pending
2017-12-02	29	Closed
2018-01-13	14	Closed
2018-06-18	24	Pending
2017-11-23	4	Closed
2018-06-15	22	Closed
2017-12-11	1	Pending
2017-12-02	16	Pending
2018-01-20	16	Closed
2017-12-03	9	Pending
2018-01-21	15	Closed
2018-01-22	40	Closed
2018-01-24	33	Closed
2018-01-24	8	Pending
2017-12-08	28	Closed
2018-01-26	30	Closed
2018-01-27	2	Assigned
2018-01-28	20	Closed
2018-01-28	1	Assigned
2018-01-30	23	Closed
2018-01-31	1	Assigned
2018-01-31	26	Closed
2018-02-01	7	Pending
2018-02-01	37	Closed
2017-12-17	21	Closed
2018-04-28	17	Pending
2018-02-02	36	Closed
2017-12-11	21	Closed
2017-12-12	8	Pending
2018-06-01	13	Assigned
2018-04-30	43	Closed
2018-02-04	15	Closed
2017-12-13	15	Closed
2018-02-07	6	Pending
2018-06-15	11	Pending
2017-12-22	22	Closed
2018-06-16	19	Assigned
2018-02-11	17	Closed
2017-12-20	2	Pending
2018-02-09	30	Closed
2018-02-10	9	Closed
2017-12-23	10	Pending
2018-02-10	4	Pending
2018-02-12	36	Closed
2018-02-13	35	Closed
2018-02-13	12	Pending
2018-02-05	30	Closed
2018-02-07	20	Closed
2018-02-14	28	Closed
2018-02-15	15	Pending
2018-02-15	37	Closed
2018-02-16	3	Assigned
2018-02-17	23	Closed
2018-02-18	6	Pending
2018-02-19	13	Pending
2018-02-19	25	Closed
2018-06-19	40	Assigned
2018-06-19	14	Closed
2018-06-20	46	Assigned
2018-02-20	15	Pending
2018-06-20	20	Pending
2018-02-20	50	Closed
2018-02-21	35	Closed
2017-12-30	7	Pending
2017-12-30	14	Closed
2018-02-22	22	Closed
2018-02-22	1	Assigned
2018-02-26	33	Closed
2018-02-27	40	Closed
2018-02-26	13	Pending
2018-02-27	9	Pending
2018-02-26	1	Assigned
2018-02-28	43	Closed
2018-02-28	18	Pending
2018-03-01	36	Closed
2010-01-29	17	Pending
2010-02-02	18	Pending
2017-06-22	22	Pending
2017-06-21	65	Closed
2017-06-15	57	Closed
2010-01-30	15	Pending
2010-01-31	8	Pending
2017-06-16	37	Closed
2010-02-01	20	Pending
2010-02-08	18	Pending
2017-06-27	53	Closed
2017-06-27	15	Pending
2010-02-09	22	Pending
2017-06-29	62	Closed
2010-02-03	15	Pending
2010-02-04	13	Pending
2010-02-05	27	Pending
2017-06-22	67	Closed
2010-02-06	9	Pending
2017-06-24	9	Pending
2017-06-23	49	Closed
2010-02-07	11	Pending
2010-02-17	18	Pending
2010-02-18	19	Pending
2017-07-06	66	Closed
2017-07-06	24	Pending
2010-02-19	16	Pending
2017-07-01	31	Closed
2017-06-30	4	Pending
2010-02-10	13	Pending
2017-07-03	9	Pending
2017-07-03	49	Closed
2017-07-03	3	Assigned
2010-02-11	15	Pending
2010-02-12	15	Pending
2017-07-05	69	Closed
2017-07-05	12	Pending
2010-02-13	8	Pending
2010-02-14	9	Pending
2010-02-15	10	Pending
2017-07-06	2	Assigned
2010-02-16	17	Pending
